head	relation	tail
element:1f8db58fddb3	HAS_FUNCTION	function:8c4aa541ee91
element:1f8db58fddb3	HAS_FUNCTION	function:779a082370b4
function:8c4aa541ee91	HAS_MODE	mode:a44e6fb296cd
mode:a44e6fb296cd	LEADS_TO	effect:465e66a8fb85
cause:b810209aaa78	CAUSES	mode:a44e6fb296cd
cause:b810209aaa78	CAUSES	group:mode_group_0002
cause:b810209aaa78	CAUSES_EFFECT	effect:465e66a8fb85
function:779a082370b4	HAS_MODE	group:mode_group_0002
mode:8696f2f6523e	BELONGS_TO	group:mode_group_0002
element:f790b63c9025	HAS_FUNCTION	function:5e20d7a96712
element:f790b63c9025	HAS_FUNCTION	function:9969d3132f27
element:f790b63c9025	HAS_FUNCTION	function:c912c68146b5
function:5e20d7a96712	HAS_MODE	mode:ace1b9ec8112
mode:ace1b9ec8112	LEADS_TO	effect:9a22045d5260
cause:8e47d81f8dd1	CAUSES	mode:ace1b9ec8112
cause:8e47d81f8dd1	CAUSES	mode:59a404cfa97f
cause:8e47d81f8dd1	CAUSES_EFFECT	effect:9a22045d5260
cause:8e47d81f8dd1	CAUSES_EFFECT	group:effect_regroup_0001
function:9969d3132f27	HAS_MODE	mode:59a404cfa97f
mode:59a404cfa97f	LEADS_TO	group:effect_regroup_0001
effect:7781a8c43260	BELONGS_TO	group:effect_regroup_0001
function:c912c68146b5	HAS_MODE	group:mode_regroup_0001
mode:86fcfa00e721	BELONGS_TO	group:mode_regroup_0001
cause:939a6b33520a	CAUSES	group:mode_regroup_0001
cause:939a6b33520a	CAUSES_EFFECT	effect:53d80fbb9ce2
cause:db5c2e5fb810	CAUSES	group:mode_regroup_0001
cause:db5c2e5fb810	CAUSES_EFFECT	effect:53d80fbb9ce2
element:f68bd40f1867	HAS_FUNCTION	function:a726d9ca63d9
function:a726d9ca63d9	HAS_MODE	mode:b58d79e47e69
mode:b58d79e47e69	LEADS_TO	effect:5ec0a660a34e
mode:b58d79e47e69	LEADS_TO	effect:74db67ecbf05
cause:e386cd1d955f	BELONGS_TO	group:cause_regroup_0001
